Channel Id,Channel Url,Channel Title
UCvOTgnW7oj9ZWDd2y5TEApw,http://www.youtube.com/channel/UCvOTgnW7oj9ZWDd2y5TEApw,IFLScience
UCveZqqGewoyPiacooywP5Ig,http://www.youtube.com/channel/UCveZqqGewoyPiacooywP5Ig,Alt Shift X
UCwmFOfFuvRPI112vR5DNnrA,http://www.youtube.com/channel/UCwmFOfFuvRPI112vR5DNnrA,Vsauce3
UCyC_4jvPzLiSkJkLIkA7B8g,http://www.youtube.com/channel/UCyC_4jvPzLiSkJkLIkA7B8g,Lindsey Stirling
UCyPYQTT20IgzVw92LDvtClw,http://www.youtube.com/channel/UCyPYQTT20IgzVw92LDvtClw,Squat University
UCyZe0Uc78q7aEA7bFKtZ-oA,http://www.youtube.com/channel/UCyZe0Uc78q7aEA7bFKtZ-oA,Jethro Tull
UCzQNvCiZtLMvCqyZMX6D9Gg,http://www.youtube.com/channel/UCzQNvCiZtLMvCqyZMX6D9Gg,Laura Cox
UCzUYuC_9XdUUdrnyLii8WYg,http://www.youtube.com/channel/UCzUYuC_9XdUUdrnyLii8WYg,All India Bakchod
UCzjJKtxtEn8J8SOsIEFMRBw,http://www.youtube.com/channel/UCzjJKtxtEn8J8SOsIEFMRBw,Kelly Dean Allen Guitar





